Id,clave_unica,Happy,Engage,WearingGlasses,LeftEyeClosed,RightEyeClosed,MouthOpen,MouthMoved,LookingAway,Fecha,nombrePC
1,f05a186a-d380-4e70-b79c-6eb0e6420b05,No,Maybe,Yes,No,No,No,No,Maybe,"12/02/2015 18:30:52",System.Windows.Contr
2,f05a186a-d380-4e70-b79c-6eb0e6420b05,No,Yes,Yes,No,No,No,No,No,"12/02/2015 18:30:52",System.Windows.Contr
3,f05a186a-d380-4e70-b79c-6eb0e6420b05,Yes,Yes,Yes,No,No,Yes,Yes,No,"12/02/2015 18:30:52",System.Windows.Contr
4,f05a186a-d380-4e70-b79c-6eb0e6420b05,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"12/02/2015 18:30:52",System.Windows.Contr
5,f05a186a-d380-4e70-b79c-6eb0e6420b05,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"12/02/2015 18:30:52",System.Windows.Contr
6,f05a186a-d380-4e70-b79c-6eb0e6420b05,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"12/02/2015 18:30:52",System.Windows.Contr
7,f05a186a-d380-4e70-b79c-6eb0e6420b05,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"12/02/2015 18:30:52",System.Windows.Contr
8,f05a186a-d380-4e70-b79c-6eb0e6420b05,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"12/02/2015 18:30:52",System.Windows.Contr
9,1833c1fe-4804-4cd1-aa4c-d85104dde600,No,Yes,Yes,No,Yes,No,No,No,"12/02/2015 18:32:23",GINAMONSTER
10,1833c1fe-4804-4cd1-aa4c-d85104dde600,No,No,Yes,Yes,Yes,No,Yes,Maybe,"12/02/2015 18:32:23",GINAMONSTER
11,1833c1fe-4804-4cd1-aa4c-d85104dde600,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"12/02/2015 18:32:23",GINAMONSTER
12,1833c1fe-4804-4cd1-aa4c-d85104dde600,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"12/02/2015 18:32:23",GINAMONSTER
13,1833c1fe-4804-4cd1-aa4c-d85104dde600,Yes,No,Yes,Yes,Maybe,Yes,Yes,Yes,"12/02/2015 18:32:23",GINAMONSTER
14,1833c1fe-4804-4cd1-aa4c-d85104dde600,Yes,No,Yes,Maybe,Yes,Yes,Yes,Yes,"12/02/2015 18:32:23",GINAMONSTER
15,1833c1fe-4804-4cd1-aa4c-d85104dde600,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"12/02/2015 18:32:23",GINAMONSTER
16,1833c1fe-4804-4cd1-aa4c-d85104dde600,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"12/02/2015 18:32:23",GINAMONSTER
17,1833c1fe-4804-4cd1-aa4c-d85104dde600,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"12/02/2015 18:32:23",GINAMONSTER
18,1833c1fe-4804-4cd1-aa4c-d85104dde600,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"12/02/2015 18:32:23",GINAMONSTER
19,42cad6ea-eecd-42ce-a358-73548e3629c4,Maybe,No,Yes,Yes,No,Maybe,No,Yes,"12/03/2015 12:28:10",GINAMONSTER
20,42cad6ea-eecd-42ce-a358-73548e3629c4,No,No,Yes,Yes,No,Yes,Yes,Yes,"12/03/2015 12:28:10",GINAMONSTER
21,42cad6ea-eecd-42ce-a358-73548e3629c4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"12/03/2015 12:28:10",GINAMONSTER
22,42cad6ea-eecd-42ce-a358-73548e3629c4,No,Maybe,Yes,No,No,Maybe,Maybe,Maybe,"12/03/2015 12:28:10",GINAMONSTER
23,42cad6ea-eecd-42ce-a358-73548e3629c4,Yes,Maybe,Yes,No,Maybe,Yes,Yes,Maybe,"12/03/2015 12:28:10",GINAMONSTER
24,42cad6ea-eecd-42ce-a358-73548e3629c4,Maybe,No,Yes,Maybe,No,Maybe,Yes,Yes,"12/03/2015 12:28:10",GINAMONSTER
25,617caaab-40c7-4f7e-9092-f0b4255ad9c5,Maybe,Maybe,Yes,Yes,No,Maybe,No,Maybe,"12/03/2015 13:13:09",GINAMONSTER
26,617caaab-40c7-4f7e-9092-f0b4255ad9c5,No,Maybe,Yes,Yes,Maybe,No,Yes,Maybe,"12/03/2015 13:13:09",GINAMONSTER
27,617caaab-40c7-4f7e-9092-f0b4255ad9c5,No,Maybe,Yes,No,No,Maybe,Maybe,Maybe,"12/03/2015 13:13:09",GINAMONSTER
28,617caaab-40c7-4f7e-9092-f0b4255ad9c5,No,No,Yes,Maybe,No,Yes,Yes,Yes,"12/03/2015 13:13:09",GINAMONSTER
29,14015a49-d807-49cd-acc1-edc29efc633c,No,Maybe,Yes,Yes,Maybe,No,No,Maybe,"12/03/2015 13:13:44",GINAMONSTER
30,14015a49-d807-49cd-acc1-edc29efc633c,No,Yes,Yes,Yes,No,No,No,No,"12/03/2015 13:13:44",GINAMONSTER
31,14015a49-d807-49cd-acc1-edc29efc633c,No,Maybe,Yes,Yes,No,Maybe,No,Maybe,"12/03/2015 13:13:44",GINAMONSTER
32,14015a49-d807-49cd-acc1-edc29efc633c,No,No,Yes,No,No,No,Yes,Yes,"12/03/2015 13:13:44",GINAMONSTER
33,14015a49-d807-49cd-acc1-edc29efc633c,Maybe,No,Yes,No,Maybe,No,Yes,Yes,"12/03/2015 13:13:44",GINAMONSTER
